patch_id,center_lat,center_lon,timestamp,dem_mean_elev,dem_max_slope,dem_mean_slope,dem_aspect,image_path,rain_6h,soil_moisture_mean_6h,vib_rms_6h,porepressure_mean_6h,displacement_6h,label_rockfall_within_24h
163,1669793.4943637322,649003.731052679,2025-09-11T14:28:46.545032,465.4928283691406,1.4924697875976562,0.8572385311126709,240.98065185546875,,,,,,,
164,1669793.4943637322,649094.6356141578,2025-09-11T14:28:46.550561,465.3365478515625,0.884936511516571,0.6035532355308533,75.62714385986328,,,,,,,
165,1669793.4943637322,649185.5401756364,2025-09-11T14:28:46.554562,463.95794677734375,1.699690580368042,1.43416166305542,95.18405151367188,,,,,,,
166,1669793.4943637322,649276.4447371151,2025-09-11T14:28:46.558210,461.70843505859375,1.6040955781936646,1.3062782287597656,91.51154327392578,,,,,,,
167,1669793.4943637322,649367.3492985937,2025-09-11T14:28:46.563820,459.5062255859375,1.7305636405944824,1.4052809476852417,88.12195587158203,,,,,,,
168,1669793.4943637322,649458.2538600723,2025-09-11T14:28:46.568491,458.3733215332031,1.1737844944000244,0.7662816643714905,70.70486450195312,,,,,,,
169,1669793.4943637322,649549.158421551,2025-09-11T14:28:46.573163,457.9207763671875,1.7974454164505005,1.200955867767334,224.08631896972656,,,,,,,
170,1669793.4943637322,649640.0629830298,2025-09-11T14:28:46.576316,459.2355651855469,1.9381554126739502,1.5521690845489502,228.1344451904297,,,,,,,
171,1669793.4943637322,649730.9675445084,2025-09-11T14:28:46.582006,458.3907775878906,2.383897542953491,1.7173378467559814,59.38865661621094,,,,,,,
172,1669793.4943637322,649821.872105987,2025-09-11T14:28:46.586975,458.27581787109375,1.082261085510254,0.760540783405304,128.8918914794922,,,,,,,
173,1669793.4943637322,649912.7766674657,2025-09-11T14:28:46.592064,458.3807373046875,1.0120329856872559,0.8027912378311157,322.8059387207031,,,,,,,
174,1669793.4943637322,650003.6812289443,2025-09-11T14:28:46.596360,459.1414489746094,0.6995952725410461,0.6039471626281738,303.6973876953125,,,,,,,
